epoch,train_loss,train_acc,val_loss,val_acc
0,1.739546523284912,0.35245,1.5014898225784301,0.4288
1,1.50183906955719,0.44355,1.3247215517044066,0.533
2,1.3941807828903199,0.48685,1.3167230750083923,0.5172
3,1.3041100610733032,0.5276,1.1237148047447205,0.593
4,1.2159936323165894,0.564,1.0597842663764954,0.6286
5,1.1471292870521546,0.5902,1.054740615081787,0.6304
6,1.084844826889038,0.6121,0.8817654876232147,0.6902
7,1.0301082500457763,0.6387,0.8486787376403808,0.6952
8,0.9833396928787231,0.64975,0.8548059182167054,0.712
9,0.9427337248802186,0.66915,0.7333702894210815,0.7436
10,0.8907910687446594,0.6878,0.719502595615387,0.7432
11,0.8553329381942749,0.69885,0.6725314837455749,0.7648
12,0.8097644010543823,0.715,0.6092254853010177,0.789
13,0.7835150925159454,0.7281,0.5591392683029175,0.8088
14,0.7512153874397278,0.738,0.5623919782161713,0.8048
15,0.7272010624885559,0.7441,0.5267432984828949,0.818
16,0.7063757196426391,0.75415,0.5162531277179718,0.826
17,0.6835437808990479,0.7598,0.4953059947013855,0.831
18,0.6804998620033265,0.76185,0.4961526575565338,0.8292
19,0.6711266042709351,0.7669,0.48776058225631713,0.8354
